NO POLISI,NOPOL LAMA,OPD,NAMA PEMILIK,JENIS_KB,MEREK_KB,TYPE_KB,TAHUN_KB,NOKA,NOSIN,AKHIR_PKB,AKHIR_STNK,LOKASI,STATUS_KB,STATUS_TAGIHAN,KETERANGAN
KTVP 8096,KTV- 8030,PENGELOLA (BKAD),DINAS PEKERJAAN UMUM KAB.PPU,F,TOYOTA,HILUX 3.0G DC 4X4 MT,2009,MROFZ296891569795,1KD - 7834371,2/19/2025,2/19/2025,PENGELOLA,Pinjam Pakai,TIDAK AKTIF,PINJAM PAKAI
KTVP 8097,KTV- 8029,PENGELOLA (BKAD),PEMKAB PPU,F,NISSAN,FRONTIER 2.5 MT (DC),2009,MNTVCUD40Z0015713,YD25 - 151913T,12/2/2025,12/2/2029,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 8098,KTV  8035,DINAS LINGKUNGAN HIDUP,DINAS PU BID.KEBERSIHAN & PERTAMANAN KAB,F,TOYOTA,HILUX 3.0G DC 4X4 MT,2010,MR0FZ29GXA1597781,1KD6605070,12/30/2026,12/30/2030,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8099, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.4V DC 4X4 AT (GUN125R-DTTHXD),2020,MR0BB3CD5L0001136,2GD4908545,12/18/2026,12/18/2030,SEKRETARIAT DAERAH,Pinjam Pakai,TIDAK AKTIF,PINJAM PAKAI
KTVP 8101,KTV  8036,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM,F,TOYOTA,HILUX 3.0G DC 4X4 MT,2010,MROFZ29G5A1598496,1KD-6597605,12/30/2026,12/30/2030,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8102,KTV  8555,SATUAN POLISI PAMONG PRAJA,SATPOL PP PEMKAB PPU,G,ISUZU,NKR 55 L E2,2009,MHCNK55LY9J029078,M029078,5/31/2027,5/31/2030,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8103,KTV  8026,RSUD RATU AJI PUTRI BOTUNG,RUMAH SAKIT UMUM DAERAH KAB. PPU,F,DAIHATSU,S402RP-PMRFJJ KJ,2009,MHKP3CA1J9K004623,DBG5504,10/29/2026,10/29/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8104,KTV  8045,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM,F,TOYOTA,HILUX 3.0G DC 4X4 MT,2010,MRDFZ29GXA1600131,1KD-6621943,1/21/2027,1/21/2031,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8105,KTV- 8037,DINAS PERTANIAN,DP3K KAB. PPU,F,TOYOTA,HILUX PU 2.0 (TGN10R-TRMDKD),2010,MROAW12G7A0023622,1TR-6985026,1/13/2027,1/13/2031,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8106,KTV  8043,PENGELOLA (BKAD),KANTOR KASBANG LINMAS KAB. PPU,F,NISSAN,FRONTIER 2.5 MT (DC),2010,MNTVCUD40Z0023858,YD25-220373T,1/21/2025,1/21/2026,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 8107,KTV  8025,RSUD RATU AJI PUTRI BOTUNG,RUMAH SAKIT UMUM DAERAH KAB.PPU,F,DAIHATSU,S402RP-TMRFJJ KP,2009,MHKT3CA1J9K002686,DBH9468,10/29/2026,10/29/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8108, ,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM DAN PENATA RUANG,F,TOYOTA,HILUX PICK UP 2.4 DSL MT GUN112R-BTMLXD,2021,MR0CB8BB4M0023163,2GD4-0945771,7/8/2026,7/8/2026,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8109,KTV  8048,SEKRETARIAT DAERAH,PEMKAB. PPU,F,TOYOTA,HILUX PICK UP 2.0 MT,2010,MROAW12G6A0020145,1TR-6867228,2/23/2027,2/23/2031,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8110,KTV  8231,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM KAB. PPU,F,TOYOTA,HILUX 3.0G DC 4X4 MT,2011,MR0FZ29G8B1623103,1KD-5345855,12/2/2026,12/2/2026,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8115,KTV  8057,INSPEKTORAT DAERAH,INSPEKTORAT KABUPATEN PENAJAM PASER UTAR,F,TOYOTA,HILUX 2.5G DC (4X4) MT,2012,MR0FR22G0C0609942,2KD-S044324,6/13/2026,6/13/2027,INSPEKTORAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8116,KTV  8060,BADAN PENDAPATAN DAERAH,DISPENDA KAB. PPU,F,TOYOTA,HILUX 2.5G DC (4X4) MT,2012,MT0FR22G1C0608797,2KD-S033417,6/8/2026,6/8/2027,BADAN PENDAPATAN DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8117,KTV  8041,SEKRETARIAT DAERAH,PEMERINTAH KAB. PPU,F,TOYOTA,HILUX 3.0 DC (KUN26R-PRMDYQ3),2010,MR0FZ29G5AI606824,1KD-6665861,1/28/2027,1/28/2031,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8120, ,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,F,FORD,RANGER 2.2L XL 4WD (4X4) M/T,2022,MNBLMFF80NW213939,P4AT4300308,1/19/2027,1/19/2028,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8121, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.4G DC 4X4 M/T (GUN125R-DTFSXD)   DTFSXD),2023,MR0KB8CD5P1217548,2GD1364329,9/13/2024,9/13/2028,PEMKAB PPU,Belanja Hibah,TIDAK AKTIF,Belanja Hibah
KTVP 8122, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.4G DC 4X4 M/T (GUN125R-DTFSXD),2023,MR0KB8CD7P1144344,2GD-D238983,10/11/2026,10/11/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8124, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.4G DC 4X4 M/T (GUN125R-DTFSXD),2023,MR0KB8CD2P1144820,2GD-D244267,10/11/2026,10/11/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8125, ,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,F,TOYOTA,HILUX 2.4G DC 4X4 M/T (GUN125R-DTFSXD),2023,MR0KB8CD7P1148135,2GDD311054,7/16/2027,7/16/2029,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8126, ,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,F,TOYOTA,HILUX 2.4G DC 4X4 M/T (GUN125R-DTFSXD),2023,MR0KB8CD8P1148225,2GD-D313577,12/12/2026,12/12/2028,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8127, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.4V DC 4X4 AT (GUN125R-DTTHXD),2023,MR0BB3CD8P6400108,2GD-1463495,2/15/2025,2/15/2029,PEMKAB PPU,Belanja Hibah,TIDAK AKTIF,Belanja Hibah
KTVP 8128, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.4V DC 4X4 AT (GUN125R-DTTHXD),2023,MR0BB3CD2P5812871,2GD-1488822,3/7/2025,3/7/2029,PEMKAB PPU,TIDAK DIKETAHUI KEBERADAANYA,TIDAK AKTIF,TIDAK DIKETAHUI KEBERADAANYA
KTVP 8129, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.4V DC 4X4 AT (GUN125R-DTTHXD),2023,MR0BB3CD4P5812824,2GD-1484183,2/15/2025,2/15/2029,PEMKAB PPU,Belanja Hibah,TIDAK AKTIF,Belanja Hibah
KTVP 8130, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.4V DC 4X4 AT (GUN125R-DTTHXD),2023,MR0BB3CD3P5812863,2GD-1487343,2/23/2025,2/23/2029,PEMKAB PPU,Belanja Hibah,TIDAK AKTIF,Belanja Hibah
KTVP 8131, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.4V DC 4X4 AT (GUN125R-DTTHXD),2023,MR0BB3CD2P5812904,2GD-1491148,2/15/2025,2/15/2029,PEMKAB PPU,Belanja Hibah,TIDAK AKTIF,Belanja Hibah
KTVP 8132, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.4V DC 4X4 AT (GUN125R-DTTHXD),2023,MR0BB3CD4P5812760,2GD-1480334,2/15/2025,2/15/2029,PEMKAB PPU,Belanja Hibah,TIDAK AKTIF,Belanja Hibah
KTVP 8133, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,F,TOYOTA,HILUX 2.4V DC 4X4 AT (GUN125R-DTTHXD),2023,MR0BB3CD1P5812814,2GD-1483859,2/15/2025,2/15/2029,PEMKAB PPU,Belanja Hibah,TIDAK AKTIF,TIDAK DIKETAHUI KEBERADAANYA
KTVP 8134, ,BADAN KEUANGAN DAN ASET DAERAH,BADAN KEUANGAN DAN ASET DAERAH KAB. PENA,F,TOYOTA,HILUX 2.4G DC 4X4 M/T (GUN125R-DTFSXD),2023,MR0KB8CD1P1219118,2GD1412481,1/30/2027,1/30/2029,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
