NO POLISI,NOPOL LAMA,OPD,NAMA PEMILIK,JENIS_KB,MEREK_KB,TYPE_KB,TAHUN_KB,NOKA,NOSIN,AKHIR_PKB,AKHIR_STNK,LOKASI,STATUS_KB,STATUS_TAGIHAN,KETERANGAN
KTVP 1572, ,KELURAHAN SUNGAI PARIT,PEMERINTAHAN KABUPATEN PENAJAM PASER UTA,C,TOYOTA,W101RE-LMMFJ 1.5 G M/T,2023,MHKAB1BY1PK072661,2NR4B67924,2/7/2026,2/7/2029,KELURAHAN SUNGAI PARIT,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1573, ,RSUD RATU AJI PUTRI BOTUNG,RSUD RATU AJI PUTRI BOTUNG,C,TOYOTA,W101RE-LBVFJ 1.5 Q CVT,2023,MHFAB1BY2P0082867,2NRY142887,2/20/2027,2/20/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1574, ,RSUD RATU AJI PUTRI BOTUNG,RSUD RATU AJI PUTRI BOTUNG,C,TOYOTA,W101RE-LBVFJ 1.5 Q CVT,2023,MHFAB1BY3P0081906,2NRY136516,2/20/2027,2/20/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1575, ,RSUD RATU AJI PUTRI BOTUNG,RSUD RATU AJI PUTRI BOTUNG,C,TOYOTA,W101RE-LBVFJ 1.5 Q CVT,2023,MHFAB1BY5P0081244,2NRY131148,12/15/2026,12/15/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 4003, ,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,R,KAWASAKI,LX150F,2019,MH4LX150FKJP84671,LX150CEWF8581,1/28/2025,1/28/2025,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1583, ,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN","BADAN PERENCANAAN, PENELITIAN DAN PENGEM",C,MITSUBISHI,XPANDER CROSS 1.5L PLUS 4X2 A/T,2023,MK2NCXTATPJ012065,4A91KBX8013,12/22/2026,12/22/2028,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1584, ,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN","BADAN PERENCANAAN, PENELITIAN DAN PENGEM",C,MITSUBISHI,XPANDER CROSS 1.5L PLUS 4X2 A/T,2023,MK2NCXTATPJ012191,4A91KBX8473,12/22/2026,12/22/2028,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1585, ,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DISDIKPORA KAB. PPU,C,MITSUBISHI,XPANDER 1.5L GLS-L 4X2 A/T,2023,MK2NCLMATPJ001204,4A91KBN2675,12/22/2026,12/22/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1586,KTVP   36,INSPEKTORAT DAERAH,INSPEKTORAT KAB. PPU,C,TOYOTA,KIJANG INNOVA V,2013,MHFXW43G8D4082592,1TR-7684091,12/23/2026,12/23/2028,INSPEKTORAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1589,KTV  1129,PENGELOLA (BKAD),PEMERINTAH KAB. PPU,C,TOYOTA,KIJANG INNOVA G (TGN40R-GKMDKD,2008,MHFXW42G182129979,1TR-6672173,1/28/2026,1/28/2029,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 1591, ,SATUAN POLISI PAMONG PRAJA,SATUAN POLISI PAMONG PRAJA KAB. PENAJAM,C,TOYOTA,MAGA10R-BRXMBD 2.0 V CVT,2024,MHFAAAAA7R0025204,M20A-NB55814,4/25/2027,4/25/2029,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1596, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,B,MITSUBISHI,PAJERO SPORT 2.4L DAKAR ULTIMATE-L 4X48AT,2024,MK2KSWPNURJ000358,4N15UKN6271,9/19/2025,9/19/2029,PEMKAB PPU,Belanja Hibah,TIDAK AKTIF,TIDAK DIKETAHUI KEBERADAANYA
KTVP 1614, ,KECAMATAN BABULU,KECAMATAN BABULU KABUPATEN PENAJAM PASER,C,TOYOTA,MAGA10R-BRXMBD 2.0 V CVT,2024,MHFAAAAA8R0025695,M20A-NB60657,7/30/2027,7/30/2029,KECAMATAN BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1618, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,B,MITSUBISHI,PAJERO SPORT 2.4L DAKAR ULTIMATE-L 4X48AT,2024,MK2KSWPNURJ000660,4N15UKR3963,9/19/2025,9/19/2029,PEMKAB PPU,Belanja Hibah,TIDAK AKTIF,TIDAK DIKETAHUI KEBERADAANYA
KTVP 1619, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,B,MITSUBISHI,PAJERO SPORT 2.4L DAKAR ULTIMATE-L 4X48AT,2024,MK2KSWPNURJ000690,4N15UKR4030,9/19/2025,9/19/2029,PEMKAB PPU,Belanja Hibah,TIDAK AKTIF,TIDAK DIKETAHUI KEBERADAANYA
KTVP 1621, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,B,MITSUBISHI,PAJERO SPORT 2.4L DAKAR ULTIMATE-L 4X48AT,2024,MK2KSWPNURJ000794,4N15UKS7477,10/22/2025,10/22/2029,PEMKAB PPU,RUSAK BERAT,TIDAK AKTIF,RUSAK BERAT
KTVP 1622, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,B,MITSUBISHI,PAJERO SPORT 2.4L DAKAR ULTIMATE-L 4X48AT,2024,MK2KSWPNURJ000766,4N15UKS2920,10/22/2025,10/22/2029,PEMKAB PPU,Belanja Hibah,TIDAK AKTIF,TIDAK DIKETAHUI KEBERADAANYA
KTVP 1623,KTVP   99,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KAB.PPU,B,TOYOTA,FORTUNER 2.5 G AT,2014,MHFZR69G5E3097741,2KDU553587,9/18/2026,9/18/2029,SEKKAB PPU,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTVP 1624, ,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KABUPATEN PENAJAM PAS,C,TOYOTA,MAGH10R-BRXLBD 2.0 G HV CVT,2024,MHFABAAA1R0027687,M20A-NC69715,11/21/2026,11/21/2029,SEKKAB PPU,Belanja Hibah,TIDAK AKTIF,TIDAK ADA KETERANGAN
KTVP 4005, ,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,R,KAWASAKI,LX150F,2019,MH4LX150FKJP80506,LX150CEWE7251,1/28/2025,1/28/2025,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1626, ,DINAS SOSIAL,DINAS SOSIAL KABUPATEN PENAJAM PASER UTA,C,TOYOTA,MAGA10R-BRXMBD 2.0 V CVT,2024,MHFAAAAA8R0033943,M20A-NC53094,11/1/2026,11/1/2029,DINAS SOSIAL,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 4006, ,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,R,KAWASAKI,LX150F,2019,MH4LX150FKJP82656,LX150CEWF2609,1/28/2025,1/28/2025,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1631, ,DINAS SOSIAL,DINAS SOSIAL KABUPATEN PENAJAM PASER UTA,C,SUZUKI,GC415V APV DLX MT,2024,MHYGDN42VRJ401321,G15AID450485,1/9/2027,1/9/2030,DINAS SOSIAL,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1632,KTVP    6,SEKRETARIAT DAERAH,INSPEKTORAT KAB. PPU,B,MITSUBISHI,PAJERO SPORT 2.5D GLX (4X4) MT,2012,MMBGNKH40CF035900,4D56UCDS0693,11/2/2026,11/2/2027,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1637, ,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KAB. PENAJAM PASER UT,B,HYUNDAI,PALISADE LX3 HEV (4X2) A/T - SIGNATURE,2025,KMHRH81AMTU008466,G4KSSA175366,9/12/2026,9/12/2030,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1639, ,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,B,TOYOTA,FORTUNER 2.8 4X4 GR-S A/T(GUN156R-SDTHXD),2025,MHFBA3FS4S1058436,1GD-5741341,10/28/2026,10/28/2030,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1642, ,BADAN KEUANGAN DAN ASET DAERAH,BADAN KEUANGAN DAN ASET DAERAH,C,TOYOTA,MAGH10R-BRXMBD 2.0 V HV CVT,2025,MHFABAAAXS0045689,M20A-NE60274,2/6/2027,2/6/2031,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1644, ,SEKRETARIAT DAERAH,PEMERINTAHAN KABUPATEN PENAJAM PASER UTA,B,FORD,EVEREST 2.0L ST4 10AT 4WD TITA 4X4 AT,2025,MNBRXXMAWRSB35239,YNWQRSB35239,2/20/2027,2/20/2031,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1973,KTV  1973,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BADAN KEPEGAWAIAN DAERAH KAB. PPU,C,TOYOTA,NEW AVANZA VELOZ 1.5 MT,2012,MHKM1CA4JCK009344,DCT9999,7/4/2027,7/4/2027, BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1976,KTV  1976,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BADAN KEPEGAWAIAN DAERAH KAB. PPU,C,TOYOTA,NEW AVANZA VELOZ 1.5 MT,2012,MHKM1CA4JCK009475,DCU0810,7/4/2027,7/4/2027, BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1979,KTV  1979,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BADAN KEPEGAWAIAN DAERAH KAB. PPU,C,TOYOTA,NEW AVANZA VELOZ 1.5 MT,2012,MHKM1CA4JCK009409,DCU0188,7/4/2027,7/4/2027, BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3006,,BADAN KESATUAN BANGSA DAN POLITIK,KANTOR KESATUAN BANGSA DAN POLITIK,R,YAMAHA,1 PA,2013,MH31PA002DK041926,1PA-042024,5/20/2027,5/20/2028,BADAN KESATUAN BANGSA DAN POLITIK,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3007,,BADAN KESATUAN BANGSA DAN POLITIK,KANTOR KESATUAN BANGSA DAN POLITIK,R,YAMAHA,1 PA,2013,MH31PA002DK092885,1PA-094389,5/20/2027,5/20/2028,BADAN KESATUAN BANGSA DAN POLITIK,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3008,,BADAN KESATUAN BANGSA DAN POLITIK,KANTOR KESATUAN BANGSA DAN POLITIK,R,YAMAHA,1 KP AT,2013,MH31KP002DK406388,1KP-406208,5/20/2027,5/20/2028,BADAN KESATUAN BANGSA DAN POLITIK,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3009,,BADAN KESATUAN BANGSA DAN POLITIK,KANTOR KESATUAN BANGSA DAN POLITIK,R,YAMAHA,1 KP A/T,2013,MH31KP002DK404280,1KP-406078,5/20/2027,5/20/2028,BADAN KESATUAN BANGSA DAN POLITIK,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3013,,SATUAN POLISI PAMONG PRAJA,SATPOL PP,R,YAMAHA,1 DY,2013,MH31DY002DJ130076,1DY-130092,5/23/2027,5/23/2028,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3014,,SATUAN POLISI PAMONG PRAJA,SATPOL PP,R,YAMAHA,1 DY,2013,MH31DY002DJ144274,1DY-144258,5/23/2027,5/23/2028,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3015,,SATUAN POLISI PAMONG PRAJA,SATPOL PP,R,YAMAHA,1 DY,2013,MH31DY002DJ117436,1DY-117453,5/23/2027,5/23/2028,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3016,,PENGELOLA (BKAD),KELURAHAN SESUMPU,R,YAMAHA,5D9 (VEGA ZR),2013,MH35D9205DJ810259,5D9-1810247,6/4/2024,6/4/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 3017,,DINAS TENAGA KERJA DAN TRANSMIGRASI,DINAS SOSIAL DAN TENAGA KERJA,R,YAMAHA,3C1 (V-IXION/FZ150),2013,MH33C1205DK154812,3C1-1154516,6/10/2027,6/10/2028,DINAS TENAGA KERJA DAN TRANSMIGRASI,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3018,,PENGELOLA (BKAD),DINAS SOSIAL DAN TENAGA KERJA,R,YAMAHA,3C1 (V-IXION/FZ150),2013,MH33C1205DK152381,3C1-1152091,6/10/2025,6/10/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 3019,,DINAS SOSIAL,DINAS SOSIAL DAN TENAGA KERJA,R,YAMAHA,1 DY,2013,MH31DY001DJ095616,1DY-095625,6/10/2027,6/10/2028,DINAS SOSIAL,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3020,,DINAS TENAGA KERJA DAN TRANSMIGRASI,DINAS SOSIAL DAN TENAGA KERJA,R,YAMAHA,1 DY,2013,MH31DY001DJ095660,1DY-095668,6/10/2027,6/10/2028,DINAS TENAGA KERJA DAN TRANSMIGRASI,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3021,,DINAS TENAGA KERJA DAN TRANSMIGRASI,DINAS SOSIAL DAN TENAGA KERJA,R,YAMAHA,1 DY,2013,MH31DY001DJ095676,1DY-095686,6/10/2027,6/10/2028,DINAS TENAGA KERJA DAN TRANSMIGRASI,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3023,,KELURAHAN PENAJAM,KANTOR LURAH PENAJAM,R,YAMAHA,5D9 (VEGA ZR),2013,MH35D9205DJ838771,5D9-1838748,6/11/2027,6/11/2028,KELURAHAN PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3024,,KELURAHAN PENAJAM,KANTOR LURAH PENAJAM,R,YAMAHA,1 KP A/T,2013,MH31KP002DK407554,1KP-407451,6/11/2027,6/11/2028,KELURAHAN PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3026,,PENGELOLA (BKAD),KANTOR LURAH PENAJAM,R,YAMAHA,1 KP AT,2013,MH31KP001DK387339,1KP-387340,6/11/2026,6/11/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3027,,KELURAHAN PENAJAM,KANTOR LURAH PENAJAM,R,YAMAHA,55S (T135SEC),2013,MH355S003DK112135,55S-112036,6/14/2025,6/14/2028,KELURAHAN PENAJAM,RUSAK BERAT,TIDAK AKTIF,HILANG
KTVP 3028,,KELURAHAN PENAJAM,KANTOR LURAH PENAJAM,R,YAMAHA,1 PA,2013,MH31PA002DK118459,1PA-118586,6/14/2027,6/14/2028,KELURAHAN PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3029,,PENGELOLA (BKAD),KANTOR KELURAHAN GERSIK,R,KAWASAKI,LX150C (KLX 150S),2013,MH4LX150CDKP72976,LX150CEPB2558,6/18/2025,6/18/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3031,,KELURAHAN LAWE-LAWE,KELURAHAN LAWE-LAWE,R,YAMAHA,5D9 (VEGA ZR),2013,MH35D9205DJ844014,5D9-1843995,6/26/2026,6/26/2028,KELURAHAN LAWE-LAWE,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3034,,PENGELOLA (BKAD),KANTOR KEC.SEPAKU KAB.PPU,R,YAMAHA,50C (T135HC) MT,2013,MH350C004DK569118,50C-569167,7/8/2024,7/8/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 3035,,KECAMATAN SEPAKU,KANTOR KEC.SEPAKU KAB.PPU,R,YAMAHA,50C (T135HC) MT,2013,MH350C003DK565317,50C-565243,7/8/2026,7/8/2028,KECAMATAN SEPAKU,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3036,,DINAS PERTANIAN,"DINAS PERTANIAN,PETERNAKAN,PERIKANAN&KEL",R,YAMAHA,50C (T135HC) MT,2013,MH350C004DK578396,50C-578428,7/15/2026,7/15/2028,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3037,,DINAS KESEHATAN,DINAS KESEHATAN UPT PUSKESMAS PETUNG,R,YAMAHA,55S (T135SEC),2013,MH355S003DK111298,55S-111302,7/17/2027,7/17/2028,DINAS KESEHATAN PKM PETUNG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3038,,DINAS KESEHATAN,DINAS KESEHATAN UPT PUSKESMAS PETUNG,R,YAMAHA,1 KP AT,2013,MH31KP001DK394537,1KP-394541,7/17/2026,7/17/2028,DINAS KESEHATAN PKM PETUNG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3039,,KELURAHAN JENEBORA,KELURAHAN JENEBORA,R,YAMAHA,45P (BYSON),2013,MH345P003DK210835,45P-220819,7/18/2026,7/18/2028,KELURAHAN JENEBORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3040,,KELURAHAN JENEBORA,KELURAHAN JENEBORA,R,YAMAHA,45P (BYSON),2013,MH345P003DK206503,45P-216632,7/18/2026,7/18/2028,KELURAHAN JENEBORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3041,,DINAS PERTANIAN,DINAS PERTANIAN PETERNAKAN PERIKANAN&KEL,R,YAMAHA,1 PA,2013,MH31PA002DK154874,1PA-156619,7/24/2027,7/24/2028,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3042,,KELURAHAN SEPAN,KELURAHAN SEPAN,R,YAMAHA,55S (T135SEC),2013,MH355S004DK117189,55S-118398,8/13/2026,8/13/2028,KELURAHAN SEPAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3043,,KELURAHAN SEPAN,KELURAHAN SEPAN,R,YAMAHA,5D9 (VEGA ZR),2013,MH35D9205DJ849314,5D9-1849294,8/23/2026,8/23/2028,KELURAHAN SEPAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 4009, ,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,R,KAWASAKI,LX150F,2019,MH4LX150FKJP81511,LX150CEWE9763,1/28/2025,1/28/2025,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3046,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DISDIKPORA,R,YAMAHA,55S (T135SEC),2013,MH355S003DK109583,55S-109595,10/1/2026,10/1/2028,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3047,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK120425,55S-120432,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 4010, ,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,R,KAWASAKI,LX150F,2019,MH4LX150FKJP86368,LX150CEWG3231,1/28/2025,1/28/2025,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3049,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S003DK107179,55S-107188,10/1/2026,10/1/2028,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3050,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK120091,55S-120095,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3051,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK119011,55S-119024,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3052,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK120879,55S-120868,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3054,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK120093,55S-120094,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3055,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK120006,55S-120184,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3056,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK118867,55S-118862,10/1/2026,10/1/2028,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3057,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK119571,55S-119587,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3058,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK119555,55S-119567,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3059,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,",H355SOO4DK120892",55S-120876,10/1/2026,10/1/2028,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 8169, ,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,F,TOYOTA,HILUX 2.4E DC 4X4 MT (GUN125R-DTFLXD),2024,MR0DB8CD8R0133354,2GD-D448585,12/13/2025,12/13/2029,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTVP 3061,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S0004DK119153,55S-119164,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8170, ,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,F,TOYOTA,HILUX 2.4E DC 4X4 MT (GUN125R-DTFLXD),2024,MR0DB8CD0R0195993,2GD-D447141,12/13/2025,12/13/2029,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTVP 3063,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH35S004DK120086,55S-120083,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3064,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK119020,55S-119045,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3066,,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,KANTOR BP2TPM,R,YAMAHA,5D9 (VEGA ZR),2013,MH35D9205DJ846098,5D9-1846079,9/16/2026,9/16/2028,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU ,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3067,,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,KANTOR BP2TPM,R,YAMAHA,5D9 (VEGA ZR),2013,MH35D9205DJ847326,5D9-1847315,9/16/2026,9/16/2028,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU ,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3068,,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,KANTOR BP2TPM,R,YAMAHA,5D9 (VEGA ZR),2013,MH35D9205DJ795213,5D9-1795064,9/16/2026,9/16/2028,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU ,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3070,,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,BEND.PENGELUARAN DISDUKCAPIL KAB.PPU,R,HONDA,GL 15 A1 RR M/T,2013,MH1KC3114DK290496,KC31E1289252,9/18/2026,9/18/2028,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3071,,PENGELOLA (BKAD),BEND.PENGELUARAN DISDUKCAPIL KAB.PPU,R,HONDA,GL 15 A1 RR M/T,2013,MH1KC3110DK290401,KC31E1289264,9/18/2025,9/18/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
